id,name,company,description,about,tags,feature tags,detailed features,prices,works well with
10027,Skydio 3D Scan,Skydio,Adaptive scanning software for autonomous inspection data capture.,"Skydio 3D Scan™ is adaptive scanning software to automate the data capture process needed to generate 3D models with comprehensive coverage and ultra-high resolution. Perform higher quality inspections faster with minimal pilot training.

Workflow:

Setup The Scan
Select one of the capture modes and follow the on-screen workflows to start the autonomous 2D or 3D scan.

Start The Scan
The drone autonomously flies to capture the scene. Monitor the scan in real-time using AR Coverage and AR Observer features.

View Data On-Site
Operator assesses data in field instantly using the Edge Model Viewer to easily click around the scanned scene.","{3D Models, AI, Autonomous, Camera, Construction, Digital Twin, Emergency Response, Facades, Inspection, iOS, Mapping, Mobile App, Orthomosaic, Photogrammetry, Point Cloud, Real-Time Rendering, Reporting, Scanning, Subscription, US-Based}",,,,"{ContextCapture, Drone Deploy, Pix4Dmapper}"
10028,TopoDOT,TopoDOT,"TopoDOT® is a high performance MicroStation application for importing and extracting 3D deliverable topography and models from point clouds, calibrated images and related 3D image data.","TopoDOT® offers the transportation industry's most productive software for extracting topography, 3D models, GIS Assets, and more from point cloud data. TopoDOT®'s comprehensive tool suite allows you to establish a highly productive process to manage data, assess quality and extract CAD and GIS products exceeding your customers requirements and expectations

Manage
Organize, store and share your project data using the unique TopoCloud™ feature. TopoCloud™ requires no additional cost, no complicated IT streaming requirements, and supports the storage medium you select.

Assess
Employ a well documented and proven process to establish requirements, extract metrics, and assess quality of your data. TopoDOT's complete suite of assessment tools quickly determines if your data will meet project objectives.

Extract
Hundreds of highly automated TopoDOT® tools extract topography, 3D models, assets, and other CAD and GIS products to seamlessly feed downstream operations. New Analysis tools automatically analyze, document, and issue reports such as ADA ramp characteristics, roadway construction quality, speed advisory around curves, retaining wall monitoring, and many others.","{3D Models, Analysis, Basemap, Feature Extraction, Free Trial, GCP, Inspection, Local Software, Mapping, Point Cloud, Reporting, Scanning, Surveying, Topographic, Windows}",,"{ [feature name: More, feature description: Feature Extraction:

- Piping

- I-Beam & 3D Bridge Modeling

- Indoor Modeling

- GIS Asset Extraction

- Tunnels

- Powerline

- Extraction of Towers, Lines, Points, etc.

- Classification

- Encroachment Analysis and 3D Clearance.


Analysis:

- Volume Analysis

- Plane Deviation

- Path Deviation

- Retaining Wall Monitoring

- Floor Flatness

- Fresnel Zone


Classification:

- Ground

- Fence

- Intensity

- Envelope

- Cell/Point Proximity] , [feature name: Rail, feature description: Feature Extraction:

- 2D and 3D Rail Line

- Center Line

- Ballast

- Gantry

- Assets

- Wires


Analysis:

- Line of Sight Analysis

- Clearance

- Railcar Collision Simulation

- Encroachment

- Gauge

- Grade

- Cross Slope

- Curve Geometry

- Speed Advisory] , [feature name: Road, feature description: Feature Extraction:

- Breakline Extraction (Edge of Pavement, Sidewalk, Terrain

- Breaks, Curbs, Barriers, Etc.)

- Painted Markings

- Automated Placement of

- Ramps and Driveways

- Road Surface

- Terrain

- Assets


Analysis:

- Pavement Condition

- Curve Geometry

- Speed Advisory

- ADA Compliance

- Cross Slope

- Grade

- Clearances

- Vehicle Collision Simulation

- Clash Detection

- Road Width

- Data Quality

- 2D and 3D Ground Control Point

- (GPS) to Point Cloud Data

- Analysis and Reporting

- Point Cloud Deviation Heat Map

- Point Cloud Density Heat Map

- Mesh/DTM/TIN to Point Cloud

- Deviation Heat Map] }",,
10029,UAV Toolbox,Feersum Technology,"Software to manage flight information, video, and telemetry.","UAV Toolbox for the Yuneec ST-16 Controller works with your Typhoon H, H Plus and H520 to manage your flight information, video and telemetry.

Runs securely and safely on your ST-16 controller in the field to add vital tools to your drone.

Connects to your PC at home to give easy download of FPV video, photos and telemetry.

Uploads flight data to the web for easy sharing with clients, colleagues and friends.","{Compliance, Free Trial, Ground Control, Local Software, Operations, Perpetual License, Reporting}",,,,
10030,UgCS,SPH Engineering,Comprehensive drone flight planning and control software.,"UgCS is a comprehensive software suite for drone flight planning and control.

Automated drone mission planning, built-in Photogrammetry and Geotagging tools, Digital Elevation Model (DEM) and KML file import enables map customization, and battery change option for long routes make UgCS an effective solution for large area surveying.

Map customization - Offline usage

Create routes from KML
KML files with boundaries of the survey area can be imported into UgCS to set precise survey location. “LineString” segments of the KML file will be imported as simple Waypoint route. “LinearRing” segment can be imported as “Area scan”,“Photogrammetry” or “Perimeter” route type.

Plan surveys with Terrain following
UgCS enables mission planning in Terrain-following mode - enabling a very-low- flying vehicle to automatically maintain a relatively constant altitude above ground level. The accuracy of the default SRTM database of UgCS varies, therefore to enable precise and safe flight altitude precise DEM (Digital Elevation Model) data has to be imported of the survey area.

Import DEM for safer mission planning
The terrain is always changing, but changes are not always implemented into 3D maps as fast as it is needed. To plan an automated low altitude or mission with terrain following for the purposes of mapping, surveying or monitoring, import Digital Elevation Model (DEM) into UgCS to plan safe missions.

Georeferenced image import as Map overlays
To fly automated drone missions precise maps are more important than ever. Import GeoTIFF images as map overlay into UgCS, providing the power to customize the maps to suit your needs. 

Mission planner | Drone control

Immersive 3D mission planning environment
UgCS features mission planner with a Google Earth-like 3D interface for UAV mission planning, enabling to navigate the environment more easily. Moreover, a 3D mission planning environment gives more control allowing to view the created flight plan from all angles, taking into account any obstacles such as terrain or buildings.

Drone survey planning tools
UgCS offers tools to make aerial surveys and mapping as easy and effortless as possible. Choose one of the pre-installed camera profiles or create a new one to suit your camera. The LiDAR, Photogrammetry, Corridor mapping, Vertical scan, and Area Scan tools will automatically calculate the flight path based on the drone and camera settings. Alternatively, the Area Scan and Photogrammetry parameters can be adjusted manually, such as GSD, overlap, or desired altitude.

Facade scan tool
The tool for vertical scanning allows to plan a vertical plane, specify the distance to the wall, as well as side and forward overlap. The optimal flying path is calculated automatically. UgCS supports importing 3D object and custom DEM data with the terrain following function. The tool is also extremely useful in mining for examining open quarries.

Telemetry window
The telemetry data window in UgCS displays telemetry data including the charge level of the battery, radio link and GPS signal quality, current course and heading, speed, altitude and much more.

Elevation profile
Once UgCS completes the flight path calculation the elevation profile of the route displays the AGL and AMSL altitude of the drone. The exact altitudes above sea level at all points provides the ability to plan drone missions with respect to the surrounding.

Automatic flight mode (waypoints) and direct drone control
UgCS enables multiple flight modes. The manual flight mode allows controlling the drone with the remote control. Once a flight plan is created and uploaded to the autopilot the Automatic flight mode can be used. For many drones, UgCS also supports Click&Go and Joystick control flight modes.

Software emulator
There are in-built software emulators for quadrocopters and fixed wing drones -emucopter and emuplane. It enables to test a route before uploading it to a real drone. Feel free to test diverse features and settings of UgCS in a safe environment.

Post-flight analysis and Image processing

Geotagging
UgCS has an in-build geotagging tool, allowing to sync the timestamps of the images with the autopilot's telemetry data recorded during the flight. After matching the geotags with coordinates and correct altitudes, the images can be used for the further processing. Create map overlays or 3D models to import them into UgCS for more precise mission planning.

Telemetry player
All telemetry data of the flights is recorded in UgCS, enabling to replay the flights of the drone during the flight.

No-Fly zones

No-Fly zones - airport registry
UgCS has built-in No-Fly zones (NFZ) for all major airports, enabling a safe flight planning near airports since the flight path will automatically be calculated around the no-fly zone. Airport no-fly zones can be disabled in UgCS PRO and UgCS ENTERPRISE.

Create custom No-Fly zones
UgCS option to create own custom no-fly zones (NFZ) enables to specify regions where flights are prohibited. UgCS will automatically calculate flight path avoiding these areas and make sure that the drone does not enter NFZ while on an automated flight.

Fly zone limits for routes
Set boundaries for the flights starting from the first waypoint. Fly zone limits for routes feature gives the ability to control, that the drone does not fly too far away or higher than desired, according to local regulation.","{Android, Autonomous, Camera, Data Collection, DEM, DSM, DTM, Flight Control, Free Trial, GCP, Inspection, Lidar, Local Software, macOS, Mission Planning, Orthomosaic, Perpetual License, Photogrammetry, RTK, SDK, Subscription, Surveying, Windows}",,"{ [feature name: Additional, feature description: - Up to 10 simultaneous drone connections
- Includes an additional installer featuring UgCS video tools (Video Server and Video Player)
- Ability to run a centralized UgCS installation (server and video server) and have pilots from the field connect over a VPN
- Live video streaming from UgCS for DJI to UgCS desktop currently compatible only with Android & Windows) 
- Video recording with embedded metadata (geolocation, timestamp, vehicle ID and other)
- Video live streaming over RTSP to VMS (such as Luxriot, Milestone)
- Multiple SDK connections 
- Live mapping from video using UgCS Mapper. 
- ADS-B Transponder] , [feature name: File import/export, feature description: - Placemark and 2D object import from KML files
- 3D building model import from .KMZ files
- Route export to DJI Pilot & Autel Explorer] , [feature name: Flight planning, feature description: - Terrain following (plan flights at a constant AGL altitude)
- Photogrammetry, Vertical scan, Corridor, Circle, Waypoint, Perimeter, Area Scan flight planning tools
- Route creation from KML / CSV files] , [feature name: LiDAR toolset, feature description: - LiDAR Area and LiDAR Corridor tools
- IMU Calibration patterns 
- Adjustable corner radius for smooth cornering and better data collection
- Loop turns for additional IMU calibration
- Adjustable LiDAR area buffer size ] , [feature name: Map / elevation, feature description: - Map and elevation caching for offline use
- DEM/DSM and custom map overlay import from .TIF files
- Multiple available base map sources (Google, Bing and other)] }",,"{Agisoft Metashape, Pix4Dmapper, UgCS Mapper}"
10031,Sketchfab,Epic,Sketchfab is an online 3D vizualization tool to showcase interactive 3D models anywhere.,"Manage your 3D assets. Distribute 3D & AR experiences. Collaborate with others. Showcase your work. Buy & sell 3D models. Interactive and configurable, VR and AR ready.

Embeddable everywhere, for eCommerce, advertising and social media. Works with all operating systems, browsers and devices.","{3D Models, API, Browser Based, Camera, Cloud Storage, Collaboration, Data Management, Free, Laser Scanning, Lidar, Point Cloud, Scanning, Subscription, Visualization}",,"{ [feature name: 3D Asset Management, feature description: Manage, share, and collaborate on 3D assets within your teams and partners. Gather and organize all models in one central place. Easily inspect and edit your content.] , [feature name: 3D Configurator, feature description: An API provides functions for starting, stopping the viewer, moving the camera, taking screenshots, animating objects, manipulating materials, and more.] , [feature name: Online 3D Editor, feature description: Under-the-hood access to a powerful Physically Based Rendering toolset for every single model. Set up lighting, materials, animation, audio, annotations, VR positioning, and more.] , [feature name: Online 3D Viewer, feature description: 3D viewer supports “Physically Based Rendering” (PBR) which allows artists and designers to approach photorealistic renders of their content.] , [feature name: Sketchfab Store, feature description: Preview model topology, UVs, and textures with our 3D viewer and model inspector before you purchase. From low-poly video game 3D assets to real-world photogrammetry scans, 3D models from every conceivable category. PBR materials, animated rigs, and more in a universal format.] }","{ [price name: Premium, price: 79.00 / month, price notes: Billed yearly or $129/mo billed monthly., price features: UPLOADING

200 uploads per month  

500MB maximum file size per model 

Private uploads 


3D FEATURES

50 Annotations

Custom backgrounds 

Camera limits 


EMBEDDING

Remove header & controls 

Remove outside link 

Remove Sketchfab logo 


3D CONFIGURATORS

Viewer API 

Partner network 


AUGMENTED REALITY

App-free AR 


FOR TEAMS

Multiple seats 

Permission management 

Projects & Folders 

SSO 

Analytics 


SUPPORT

24 hrs Priority support 


OTHER

Duplicate models 

Model conversion], [price name: Pro, price: 15.00 / month, price notes: Billed yearly or $24/mo billed monthly., price features: UPLOADING

50 uploads per month  

200mb maximum file size per model 

Private uploads 


3D FEATURES

20 Annotations

Custom backgrounds 

Camera limits 


3D CONFIGURATORS

Viewer API 

Partner network 


SUPPORT

48 hrs Priority support 


OTHER

Duplicate models 

Model conversion]}","{3DF Zephyr, Cinema 4D, Nubigon, Reality Capture}"
10032,UgCS Mapper,SPH Engineering,In-field map processing software to validate survey image quality and density.,"UgCS Mapper is an affordable lightweight drone image and video processing software to create 2D maps and elevation models.

Work offline in the field
UgCS Mapper is capable of working purely offline so that you can quickly stitch the map and validate the quality and density of survey data before leaving the survey area.

Stitch multispectral RGN JPEG
Upload multispectral 3- channel RGN JPEG images of the field into UgCS Mapper for stitching and generate NDVI indexes to assess crop health

Stitch on the fly
When default map sources are not available or obsolete, create up-to-date maps and elevation data on the fly. They are accurate enough for safe mission planning and guiding first response teams.

Live mapping from video stream
Combined with UgCS ENTERPRISE license, UgCS Mapper supports LIVE mapping from a drone's video stream.","{Agriculture, Camera, Construction, DEM, DSM, DTM, Emergency Response, Free Trial, Linux, Local Software, macOS, Mapping, Mining, Multispectral, Orthomosaic, Perpetual License, Subscription, Surveying, Topographic, Windows}",,"{ [feature name: DSM/elevation data, feature description: Generate DSM/elevation data from georeferenced JPG images.] , [feature name: Integration, feature description: A new map one click away and DSM export from UgCS Mapper into UgCS.] , [feature name: Multispectral cameras, feature description: Stitch multispectral 3-channel RGN JPEG images to generate NDVI indexes. Compatible with Micasense RedEdge-M, RedEdge-MX.] , [feature name: Orthophoto generation, feature description: Stitching orthophoto from georeferenced JPG images.] }","{ [price name: Perpetual, price: 506.99  per user, price notes: One time purchase, price features: Includes 1st year of support (starting 2nd year since purchase Annual Support & Update pack $100/yearly).]}",{UgCS}
10033,PrecisionAnalytics,PrecisionHawk,"AI platform for aggregating, analyzing, and actioning aerial data.","PrecisionAnalytics is an aerial mapping, modeling, and inspection platform that uses artificial intelligence to analyze aerial data, streamline reporting, and accelerate work processes. It can be used to scout large areas of land or inspect utility towers, allowing users to identify issues before they become critical problems and providing data accessibility and portability to their organization. The platform offers efficient data processing, rich and precise analytics, distributed intelligence, and secure data storage. PrecisionAnalytics can be used in the energy sector to view and validate geolocation, examine asset condition, and direct action, and in the agriculture sector to see growth trends, identify plant health and stress, and measure farm efficiency. It can process aerial imagery from various sensors, including visual, multispectral, and thermal, and offers a range of analysis tools and easy data sharing.","{Agriculture, AI, Analysis, Browser Based, Cloud Processing, Cloud Storage, Compliance, Data Management, Inspection, Operations, Reporting}",,,,{Precision Flight Pro}
10034,GeoSLAM Connect,GeoSLAM,"Create clean, geo-referenced point clouds with automation, presets, and simple tools.","3D visualization of your data, additional processing and filtering, workflow automation tools and integration into third party software applications. GeoSLAM Connect is built to be an easily integrated and automated processing tool for your point cloud data.

Your data can be setup to automatically import, process, saved in a folder of your choice, and exported for the next step of your workflow.

- Automate your data processing with customizable workflow scripts
- Visualize data using the Connect 3D Application
- Point clouds can be colored by time, elevation, RGB, or custom single color
- Remote field-to-office data transfer
- Smartphone imagery and notes app (Android) for additional data to help interpret point clouds
- Optional Draw Packages: Start, Plan, BIM, Mining, and Pro

Made to work well with GeoSLAM's additional point cloud editing tool GeoSLAM Draw and integrate with common software used in the rest of point cloud workflows.","{3D Models, Agriculture, Construction, Forestry, Free Trial, Inspection, Laser Scanning, Local Software, Mapping, Mining, Orthomosaic, Photogrammetry, Point Cloud, Scanning, Surveying, Waste Management, Windows}","{Analysis - Accuracy Reports, Analysis - Change Detection, Analysis - Linear Measurement, Analysis - Point Attributes, Collaboration - File Sharing, File Management - Drap & Drop, File Management - Projects, Integrations - Autodesk Navisworks, Integrations - Autodesk Recap, Integrations - Autodesk Revit, Integrations - Bloom Cloud Engine, Integrations - ContextCapture, Integrations - Deswik, Integrations - Esri, Integrations - Floorplanner, Integrations - JP Interactive Viewer, Integrations - Micromine, Integrations - Microstation, Integrations - MineRP, Integrations - Nubigon, Integrations - Pointerra, Integrations - Pointfuse, Integrations - Terrasolid, Integrations - Unity, Integrations - Unreal Engine, Integrations - Veesus Arena4D, Processing - Alignment Tools, Processing - Cleanup Tools, Processing - Colourization, Processing - Control Points, Processing - Floor Slices, Processing - Format Conversions, Processing - Noise Reduction, Processing - Point Clouds, Processing - Processing Presets, Processing - Queued Processing, Support - Chat, Support - Guides, Support - Knowledgeable, Support - Phone, Support - Technical, Workflow - Automated Processing}","{ [feature name:  Automated Workflows, feature description: Common workflows, such as importing the data, adjusting the parameters and exporting along with many others, can be automated into a single operation. This simplifies data processing for users.] , [feature name: Change Detection, feature description: Mostly used in the construction industry, multiple point clouds can be compared and any areas that have changed are automatically highlighted. Point clouds can also be compared with CAD models – for instance to track progress on a construction site – and PDF reports can be generated to present this information.] , [feature name: Closed and Open Loop Georeferencing, feature description: Both methods match the scan data from a ZEB Locate system with the GPS data collected from the antenna to georeference the point cloud. When a scan starts and ends in the same place, this is classed as “closed loop”. “Open loop” is when the start and end position of a scan are in different locations. Standard SLAM practices apply to both methods of data collection. (Open Loop SLAM for the ZEB Locate is available upon request)] , [feature name: Data Classifiers, feature description: GeoSLAM Connect has a range of filtering tools to help users get the best results from their data. These include outlier removal, surface noise reduction and removal of unwanted points, all of which make point clouds look cleaner and more defined. All of these tools are accessible within the Connect interface and can be applied to any dataset.] , [feature name: Data Exports, feature description: Export your point cloud into a range of formats, including LAS, PLY and TXT. Datasets can now also be exported as structured or unstructured E57 files, both of which include embedded panoramic images.] , [feature name: Data Import, feature description: Drag and drop datasets into Connect where a pre-selected workflow will automatically begin processing. Datasets can also be browsed and selected for upload.] , [feature name: Data Management, feature description: Data files can be sorted into projects defined by the user. Projects can be used to manage multiple scans from a single site, date or operator or from a common data processing workflow.] , [feature name: Floor Slices, feature description: Horizontal and vertical slices can be taken from any location within the point cloud. Horizontal floor slices can also be automatically taken at a given height above the floor as defined in the processing stage.] , [feature name: Intuitive Interface, feature description: The Connect viewer is integrated into the main software interface making it easy to view multiple point clouds simultaneously and measure the distance between data points.] , [feature name: Manual Alignment, feature description: Align multiple scans using a combination of manual and automatic processes. This workflow can be performed on two or more scans in the same project. Users have a choice to export the aligned scans separately or as a single merged point cloud.] , [feature name: Point Cloud Measurements, feature description: Distances between individual points can be measured within the Connect Viewer. This feature is a standard tool on the interface and can be used on any dataset.] , [feature name:  Queued Processing, feature description: Import multiple .geoslam files into Connect for processing and the scans will be processed in the order they were imported. The size of the queue can be defined by the user.] , [feature name: RGB Colourization, feature description: RGB colourization is achieved using the ZEB Vision accessory with the ZEB Horizon. The workflow is divided into four simple processes: Process SLAM, Image Stitching, Image Positioning, and Colourization. These procedures can be completed within the GeoSLAM Connect interface without the need for separate geoscripts.] , [feature name: SLAM Environmental Pre-sets, feature description: Common data capture scenarios, such as UAV, outdoor, indoor, linear, and vehicle, have been characterised in Connect and data processing pre-sets for each environment have been defined. These can be selected at the beginning of the data processing stage allowing this process to be highly simplified.] , [feature name: Stop and Go Alignment, feature description: Common static points are captured during several scans meaning that these datasets can be automatically aligned. A single point cloud is then exported as if the data was captured in a single scan.] , [feature name: Stop and Go Georeferencing, feature description: Known control points are captured during a scan and automatically compared and matched to the associated coordinates during the processing stage in Connect. A rigid and/or a non-rigid adjustment can be made to the dataset and an accuracy report is exported, highlighting how successful the transformation was.] }",,"{ArcGIS Online, Autodesk Revit, ContextCapture, Nubigon, Unreal Engine}"
10035,Aloft Air Control,Aloft,UAS fleet management and flight ops software suite.,"A complete software solution spanning pre-flight, in-flight, and post-flight workflows.

UAS fleet management and flight ops, intended for security, compliance, and safety needs. Aloft Air Control is built as a web-based platform for operations, management, and reporting with a dedicated mobile app on iOS and Android for agnostic drone flight management.

Aloft also supports an API with good documentation for developers looking for further integrations.

Formerly Kittyhawk.","{Android, API, Autonomous, Camera, Compliance, Data Management, Flight Control, Free, iOS, LAANC Authorization, Mission Planning, Mobile App, Operations, Thermal}","{Compliance - Airspace Map, Compliance - Airspace Monitoring, Compliance - Airspace Restrictions, Compliance - Custom Airspace Layers, Compliance - LAANC Authorizations, Flight Planning - Plan Approvals, General - Widely Used, Management - User Management, Management - User Permissions, Operations - Activity Reporting, Operations - Equipment Management, Operations - Flight Logs, Operations - Flight Planning, Operations - Live Streaming, Operations - Tracking, Operations - Two-way Audio, Platform - API, Platform - Browser-Based, Platform - Mobile App, Reporting - Fleet Metrics, Safety - Flight Check Logs, Safety - Flight Risk Assessments, Safety - Pilot Risk Profiles, Safety - Preflight Checks, Safety - Weather Monitoring, Support - Developer, Support - Email, Support - Good Dev Documentation, Support - Guides}","{ [feature name: Account Controls, feature description: Manage your team and customize settings for your operators.] , [feature name: Custom Airspace, feature description: Create custom map layers with Dynamic Airspace.] , [feature name: Enhanced Security, feature description: SOC 2 Type 2 Security Audited.

Granular user permissions. ] , [feature name: Fleet Management, feature description: Fly from mobile. Manage from the web.

Aloft is one single data record for your drone fleet. If it flies or helps you fly, we can track it.] , [feature name: Flight Logging, feature description: Search, filter and find the flight data you need to get work done.] , [feature name: Flight Ops, feature description: Native in-flight operator controls.

Integrated mobile workflows, airspace, authorizations and aircraft operation.

Access real time information on your drone and fleet to fly, coordinate and manage team missions

Customize flight restrictions and best practices with Flight Profile settings

Ensure that your team complies with all local and FAA restrictions. With Aloft Flight Profiles, set up automated flight restrictions on your drone fleet like flight ceilings, maximum distances from the pilot and no-fly zones. Flight profiles are updated automatically to your pilots so they can focus on the flying without having to worry about adhering to limitations.

View fleet activity real-time

View your team’s telemetry in real-time. This increases situational awareness, and allows you to share your drone telemetry amongst your other operators, enabling safer and more efficient flights.

Simplify your flight operations

No more bouncing between apps. Now pilots can securely fly within the Aloft app, with no extra steps to create beautiful flight logs with Aloft Flight Deck.] , [feature name: Flight Planning, feature description: Standardize workflows across the fleet with customized checklists, risk assessments and authorizations.


Convenient checklist management and compliance

Manage your entire team's checklist from one central location and verify they're completing them prior to each flight. See logs of where each list was completed and by whom.


Review your flight and pilot risk profile before you fly

With our Pilot Risk Profile and Flight Risk Assessment, easily assess your mission risk level and your pilot’s risk profile. Mitigate risk quickly and easily across your drone operations.


Secure real-time airspace authorizations with LAANC

Get real-time authorizations to fly in controlled airspace, all within the app. Aloft logs, tracks, and stores all authorizations so there’s a single record for compliance and internal reporting.


Situational awareness with Dynamic Airspace™

Understand, anticipate and react to upcoming weather and airspace changes before you fly. Reduce risk with superior situational awareness and easy to understand map views adjustable to your operational needs.


Mission planning for your team

Design, review and approve missions with Aloft’s web dashboard. Coordinate your team’s flights to complete missions quickly and easily.


Attach flights to operator credentials

Ensure compliance by linking and storing your Part 107 credentials within the Aloft platform. Link all flight logs to your credentials quickly and easily.] , [feature name: LAANC, feature description: Powering over half of the monthly LAANC authorizations in the US, download the Aloft app today to get authorized to fly in controlled airspace.


- Receive a near real-time authorization for operations under 400 feet in controlled airspace around 732 airports.
- Commercial operators will need to apply for further coordination (requests above pre-approved ceilings) within 72 hours of desired operational start time.
- Apply up to 90 days in advance of a flight and the approval is coordinated manually through the applicable airspace owners.
- LAANC authorization areas can span up to 10 miles.
- Apply for a LAANC authorization for someone else in your organization. A UAS program manager can apply for a LAANC authorization on behalf of the UAS operator in the field who will be flying the mission, even if those people are scattered across the country. This saves time for the operator, gives a program manager a lot more flexibility to assign missions, and makes it much easier to track LAANC authorizations across an organization.
- A user can have up to five LAANC authorizations occurring during the same time period. Operations using these overlapping LAANC authorizations must be located within 100 nautical miles of one another.
- As of August 2021, commercial operators can apply for access to controlled airspace at night via LAANC.] , [feature name: Live Streaming, feature description: Real-time and Encrypted Live Streaming. Share Live Drone Video to Any Device. Two Way Audio with Pilot and Team.


Aloft lets you share the view from your drone to any device in real-time - with audio so your team and partners can collaborate when it counts the most.


Coordination

Accelerate incident response coordination with live and unified communication between staff on scene and remote experts.


Security

Real-time drone footage routed back to headquarters or the command center for a new level of situational awareness.


Compliance

Stream recording and playback provides the ultimate visibility and back-up for critical missions and events.


Training

Compliment team training with analysis of recorded flights for teaching safe and effective flying.] , [feature name: Reporting, feature description: Analyze fleet compliance data to establish metrics-based evaluation.] , [feature name: Team Operations and Management, feature description: Get a fleet-level view on your fleet operations, including real time fleet movements, pilot risk profile and FAA compliance and certifications.

Prepare for your mission with Flight Risk Assessment

With realtime drone traffic, weather and flight advisories, review your mission risk profile before you fly. This helps you quantify the amount of risk in a flight and apply common-sense policies to manage it.


Review your flight risk profiles before flying

Aloft’s Pilot Risk Assessment feature uses flight logs and drone telemetry to compile a risk profile on each pilot based on their flight histories. Use this to get a high level view on the overall risk profile of your drone pilots to better manage your drone operations risk and liability.


Better manage your fleet

Seamlessly track your craft flight time, battery health, checklists, and location insights. Easily find the information you need to determine the health of your fleet and optimize your operations.


Coordinate your team mission operations

Get up to the second information on where any drone in your fleet is operating. Not sure who’s operating where? Aloft tells you when things happen and what the status of your operators is.] , [feature name: Thermal Camera Controls, feature description: Aloft Air Control offers thermal camera control for the DJI Mavic 2 Enterprise, the DJI Matrice 200 Series, and the Parrot Anafi Thermal.] ,NULL}",,
10036,Meshroom,Alice Vision,"Meshroom is a free, open-source 3D Reconstruction Software based on the AliceVision framework.","AliceVision is a free Photogrammetric Computer Vision Framework which provides 3D Reconstruction and Camera Tracking algorithms. It’s built on top of an underlying framework called AliceVision, which is the result of cooperation between multiple Universities & Labs (Czech Technical University, IMAGINE, INPT, Simula Research Laboratory, and Quine) and Mikros Image, a French post-production company.

The basic interaction is about as simple as it gets. Drag and drop pictures into the Meshroom window, hit START and wait for the finished model. However, with Meshroom you can also peform Augmented reconstruction. That means you can add more pictures to a half-finished solution in case you notice (in the preview) that some areas could use more detail.

And even better, with Meshroom you can do Live Reconstruction! In this mode, you repeatedly take sets of pictures, upload them to a folder and they are automatically processed. A preview is displayed and you can decide which part of the model needs more detail. Then, you take more pictures and the whole process repeats until you’ve captured the model from all angles.

Importing images into Meshroom is simply a drag & drop from your images folder into Meshroom. Your Meshroom projects will be saved in a folder called MeshroomCache. And that’s pretty much it! Meshroom will go through your images’ metadata to ensure they are all in order and get to work processing the 3D image.

Whatever is uploaded is automatically opened in Meshroom’s UI. You can then go through in more detail and see what images correspond to what location on the 3D scan. The examination of individual images in the 3D scan gives you more control and a better idea of what looks good and what doesn't.

Make sure to explore the different node functions and how they can be used to improve or change your image. After you are satisfied with the results, go to the next step: uploading straight to Sketchfab.

Meshroom has a feature where you can directly upload your image results to Sketchfab to publish your 3D models and projects.","{3D Models, Camera, Free, Linux, Local Software, macOS, Open Source, Photogrammetry, Processing, Windows}",,,,{Sketchfab}
10037,GeoSLAM Draw,GeoSLAM,Enhance and gain more insight from point clouds.,"GeoSLAM Draw is an optional ad on to GeoSLAM Connect for creating and visualizing 2D and 3D models of physical spaces using laser scanning and other geospatial technologies. It allows users to capture high-resolution point cloud data of an environment and use it to create detailed models of buildings, infrastructure, and other structures. With GeoSLAM Draw, users can visualize and analyze the layout and features of a space, measure areas, distances and angles, and create detailed floorplans and sections. It also includes a range of tools for annotation, vectorization, panorama viewing, file export, and more. Workflow tools makes it easy to share projects with colleagues and clients for detailed collaboration.","{3D Models, Analysis, Collaboration, Construction, DEM, DSM, DTM, Free Trial, Laser Scanning, Lidar, Mapping, Mining, Point Cloud, Presentation, Real-Time Rendering, Scanning, Surveying, Topographic, Visualization}",,,,{GeoSLAM Connect}
